Name,County,Address,Coordinates,Description,Verified_Access
07D007 Polk Lake Spring,Jackson,"Jackson County, Florida","30.70408095, -84.86908702","This spring is listed in USGS Publication ""Physical and Hydrochemical Evidence of Lake Leakage near Jim Woodruff Lock and Dam andof Ground-Water Inflow to Lake Seminole, and an Assessment of Karst Features in and near the Lake,Southwestern Georgia and Northwestern Florida "" Scientific Investigations Report 2005-5084",Not Verified
2 PINES SPRING,Taylor,"Taylor County, Florida","29.95739995, -83.68310003",Natural spring in Florida,Not Verified
47 BRIDGE SPRING,Gilchrist,"Gilchrist County, Florida","29.855483, -82.735",Natural spring in Florida,Not Verified
A. WAYNE LEE SPRING,Sumter,"Sumter County, Florida","28.85969833, -82.08769722",Natural spring in Florida,Not Verified
ABDONEY SPRING,Citrus,"Citrus County, Florida","28.79685889, -82.58612556",Natural spring in Florida,Not Verified
ADAH SPRING,Taylor,"Taylor County, Florida","29.97119995, -83.74560003",Natural spring in Florida,Not Verified
ADAMS AUCILLA SPRINGS #1,Madison,"Madison County, Florida","30.43584, -83.72031","Reported by private citizen to Harley Means - Recieved Mon, Jun 13, 2022, 12:22 PM; Located approximately 0.29 miles south of SR8/I-10 In Greenville, FL 32331.",Not Verified
ADAMS AUCILLA SPRINGS #2,Madison,"Madison County, Florida","30.43790995, -83.71205202","Reported by private citizen to Harley Means - Recieved Mon, Jun 13, 2022, 12:22 PM; Located approximately 0.29 miles south of SR8/I-10 In Greenville, FL 32331.",Not Verified
ADAMS AUCILLA SPRINGS #3,Madison,"Madison County, Florida","30.43798095, -83.71204502","Reported by private citizen to Harley Means - Recieved Mon, Jun 13, 2022, 12:22 PM; Located approximately 0.29 miles south of SR8/I-10 In Greenville, FL 32331.",Not Verified
ADAMS AUCILLA SPRINGS #4,Madison,"Madison County, Florida","30.43949857, -83.71223164","Reported by private citizen to Harley Means - Recieved Mon, Jun 13, 2022, 12:22 PM; Located approximately 0.29 miles south of SR8/I-10 In Greenville, FL 32331.",Not Verified
ADAMS AUCILLA SPRINGS #5,Madison,"Madison County, Florida","30.44340795, -83.71395903","Reported by private citizen to Harley Means - Recieved Mon, Jun 13, 2022, 12:22 PM; Located approximately 0.29 miles south of SR8/I-10 In Greenville, FL 32331.",Not Verified
ADAMS AUCILLA SPRINGS #6,Madison,"Madison County, Florida","30.44334995, -83.71401703","Reported by private citizen to Harley Means - Recieved Mon, Jun 13, 2022, 12:22 PM; Located approximately 0.29 miles south of SR8/I-10 In Greenville, FL 32331.",Not Verified
ADAMS AUCILLA SPRINGS #7,Madison,"Madison County, Florida","30.43480805, -83.72177083","Reported by private citizen to Harley Means - Recieved Mon, Jun 13, 2022, 12:22 PM; Located approximately 0.29 miles south of SR8/I-10 In Greenville, FL 32331.",Not Verified
ADAMS SPRING,Hamilton,"Hamilton County, Florida","30.431667, -83.198196",Natural spring in Florida,Not Verified
ALACHUA SPRING,Alachua,"Alachua County, Florida","29.82566041, -82.65034371",Spring type is estavelle.  SRWMD 070115;,Not Verified
ALACHUA SPRING,Alachua,"Alachua County, Florida","29.84466235, -82.63085562",Spring,Not Verified
ALACHUA SPRING,Alachua,"Alachua County, Florida","29.82794279, -82.64083523","Spring     Discharge estimated by D. Hornsby, SRWMD",Not Verified
ALAN WRIGHT PARK SPRING,Citrus,"Citrus County, Florida","28.93773, -82.6799275",Natural spring in Florida,Not Verified
ALAPAHA RIVER RISE,Hamilton,"Hamilton County, Florida","30.43896917, -83.08956222",Natural spring in Florida,Not Verified
ALEXANDER SPRINGS,Lake,"Lake County, Florida","29.08130083, -81.57588361",Natural spring in Florida,National Forest
ALIAH SPRING,Columbia,"Columbia County, Florida","29.83370394, -82.67497384",Natural spring in Florida,Not Verified
ALLEN MILL POND SPRINGS #1,Lafayette,"Lafayette County, Florida","30.16284106, -83.24307106",Spring type is estavelle.  SRWMD 070115;,Not Verified
ALLEN MILL POND SPRINGS #2,Lafayette,"Lafayette County, Florida","30.16281719, -83.24291011",Spring type is estavelle.  SRWMD 070115;,Not Verified
ALLEN MILL POND SPRINGS #3,Lafayette,"Lafayette County, Florida","30.16251548, -83.24230699",Spring type is estavelle.  SRWMD 070115;,Not Verified
ALLEN MILL POND SPRINGS #4,Lafayette,"Lafayette County, Florida","30.1624672, -83.24168238",Spring type is estavelle.  SRWMD 070115;,Not Verified
ALLEN SPRING (COLUMBIA),Columbia,"Columbia County, Florida","29.82726583, -82.64602222",Natural spring in Florida,Not Verified
ALLIGATOR HOLE SPRING,Marion,"Marion County, Florida","29.21511111, -82.050925",Natural spring in Florida,Not Verified
ALLIGATOR SPRING (CITRUS),Citrus,"Citrus County, Florida","28.80044927, -82.58797582",Spring     In the Parks alligator pen.,Not Verified
ALLIGATOR SPRING (MARION),Marion,"Marion County, Florida","28.96022694, -82.22935444",Station is on the boundary of Marion and Sumter County and in the Gum Spring Group,Not Verified
ANDERSON SPRING,Suwannee,"Suwannee County, Florida","30.35340965, -83.18972612",Spring,Not Verified
APOPKA SPRINGS,Lake,"Lake County, Florida","28.56660139, -81.68066889",Natural spring in Florida,Not Verified
ARIPEKA SPRING #1,Hernando,"Hernando County, Florida","28.43853056, -82.65878333",Tidal; tannic; slight boil,Not Verified
